Name                                                                                          ClientID
--------------------------------------------------------------------------------------------  ------------------------------------
Azure SQL Database Backup To Azure Backup Vault                                               e4ab13ed-33cb-41b4-9140-6e264582cf85
appservice3396                                                                                333d284c-f7bb-40a1-adb7-5b3703422f17
Azure SRE Agent                                                                               59f0a04a-b322-4310-adc9-39ac41e9631e
CosmosDB-Garnet-Cache                                                                         e9c3020c-b976-40a7-b6c2-0d56abaa82f8
Log Analytics API                                                                             ca7f3f0b-7d91-482c-8e09-c5d840d0eac5
Meru19 MySQL First Party App                                                                  e6f9f783-1fdb-4755-acaf-abed6c642885
Azure CosmosDB for PostgreSQL Microsoft EntraId                                               ecafc2d9-cf1a-49a7-b60f-e44e34a988d2
Azure Graph                                                                                   dbcbd02a-d7c4-42fb-8c27-b07e5118b848
Marketplace Caps API                                                                          184909ca-69f1-4368-a6a7-c558ee6eb0bd
MS-PIM                                                                                        01fc33a7-78ba-4d2f-a4b7-768e336e890e
Microsoft Approval Management                                                                 65d91a3d-ab74-42e6-8a2f-0add61688c74
Azure Managed HSM RP                                                                          1341df96-0b28-43da-ba24-7a6ce39be816
MicrosoftAzureRedisCache                                                                      96231a05-34ce-4eb4-aa6a-70759cbb5e83
Azure Static Web Apps                                                                         a7d8f84e-510b-46d6-8f59-77e581db63bc
Azure Container Instance Service                                                              6bb8e274-af5d-4df2-98a3-4fd78b4cafd9
Microsoft App Access Panel                                                                    0000000c-0000-0000-c000-000000000000
Microsoft Azure Legion                                                                        55ebbb62-3b9c-49fd-9b87-9595226dd4ac
AzureBackup_WBCM_Service                                                                      c505e273-0ba0-47e7-a0bd-f48042b4524d
Azure Iot Hub                                                                                 89d10474-74af-4874-99a7-c23c2f643083
Azure ContainerApps Sessions                                                                  2c7dd73f-7a21-485b-b97d-a2508fa152c3
Bot Framework Composer                                                                        ce48853e-0605-4f77-8746-d70ac63cc6bc
Microsoft Azure AD Identity Protection                                                        a3dfc3c6-2c7d-4f42-aeec-b2877f9bce97
Azure Database for PostgreSQL Marlin                                                          5ed8fe41-c1bc-4c06-a531-d91e1f1c2fac
